[INFO] 2026-05-18 18:14:36 | System initializing
[INFO] 2026-05-18 18:14:36 | Air switch (line=37, chip=/dev/gpiochip4) init sync: hw_on=False, power_closed=True
[INFO] 2026-05-18 18:14:36 | 同步飞书设备状态: device_open=False
[WARNING] 2026-05-18 18:14:39 | 自动发现未找到可用的 ONVIF 设备，回退到配置的 fallback_ip: 10.55.46.170
[INFO] 2026-05-18 18:14:39 | 使用配置的摄像头 IP: 10.55.46.170
[INFO] 2026-05-18 18:14:40 | Opened evdev device for key1: /dev/input/event3 (fd=7)
[INFO] 2026-05-18 18:14:40 | Opened evdev device for key2: /dev/input/event1 (fd=9)
[INFO] 2026-05-18 18:14:40 | KeyListener callbacks bound: on_key1_long=True, on_key2_long=True
[INFO] 2026-05-18 18:14:40 | System initialized
[INFO] 2026-05-18 18:14:40 | 飞书 Webhook 服务器已启动: 0.0.0.0:8266
[INFO] 2026-05-18 18:14:40 | KeyListener started
[INFO] 2026-05-18 18:14:41 | 状态已上报飞书: {'device': 'close', 'ip': '10.55.62.206'}
